FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE,DEP_AIRPORT_LAT,DEP_AIRPORT_LON,DEP_AIRPORT_TZOFFSET,ARR_AIRPORT_LAT,ARR_AIRPORT_LON,ARR_AIRPORT_TZOFFSET,EVENT,NOTIFY_TIME
2015-02-12,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 20:10:00 UTC,2015-02-12 20:01:00 UTC,-9.0,,,,,2015-02-12 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-12 20:01:00 UTC
2015-02-12,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 20:10:00 UTC,2015-02-12 20:01:00 UTC,-9.0,26.0,2015-02-12 20:27:00 UTC,,,2015-02-12 21:26:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-12 20:27:00 UTC
2015-02-12,AS,19930,AS,43,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-12 20:10:00 UTC,2015-02-12 20:01:00 UTC,-9.0,26.0,2015-02-12 20:27:00 UTC,2015-02-12 21:27:00 UTC,4.0,2015-02-12 21:26:00 UTC,2015-02-12 21:31:00 UTC,5.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-12 21:31:00 UTC
2015-02-12,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-13 04:05:00 UTC,2015-02-13 03:57:00 UTC,-8.0,,,,,2015-02-13 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,departed,2015-02-13 03:57:00 UTC
2015-02-12,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-13 04:05:00 UTC,2015-02-13 03:57:00 UTC,-8.0,17.0,2015-02-13 04:14:00 UTC,,,2015-02-13 05:16:00 UTC,,,0.00,,,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,wheelsoff,2015-02-13 04:14:00 UTC
2015-02-12,AS,19930,AS,45,10299,1029904,30299,ANC,10551,1055102,30113,BET,2015-02-13 04:05:00 UTC,2015-02-13 03:57:00 UTC,-8.0,17.0,2015-02-13 04:14:00 UTC,2015-02-13 05:15:00 UTC,4.0,2015-02-13 05:16:00 UTC,2015-02-13 05:19:00 UTC,3.0,0.00,,0.00,399.0,61.17416667,-149.99805556,-32400.0,60.77861111,-161.83722222,-32400.0,arrived,2015-02-13 05:19:00 UTC
2015-02-09,AS,19930,AS,51,10299,1029904,30299,ANC,10754,1075402,30107,BRW,2015-02-10 02:30:00 UTC,2015-02-10 02:23:00 UTC,-7.0,,,,,2015-02-10 04:25:00 UTC,,,0.00,,,725.0,61.17416667,-149.99805556,-32400.0,71.285,-156.76861111,-32400.0,departed,2015-02-10 02:23:00 UTC
2015-02-09,AS,19930,AS,51,10299,1029904,30299,ANC,10754,1075402,30107,BRW,2015-02-10 02:30:00 UTC,2015-02-10 02:23:00 UTC,-7.0,22.0,2015-02-10 02:45:00 UTC,,,2015-02-10 04:25:00 UTC,,,0.00,,,725.0,61.17416667,-149.99805556,-32400.0,71.285,-156.76861111,-32400.0,wheelsoff,2015-02-10 02:45:00 UTC
2015-02-09,AS,19930,AS,51,10299,1029904,30299,ANC,10754,1075402,30107,BRW,2015-02-10 02:30:00 UTC,2015-02-10 02:23:00 UTC,-7.0,22.0,2015-02-10 02:45:00 UTC,2015-02-10 04:27:00 UTC,4.0,2015-02-10 04:25:00 UTC,2015-02-10 04:31:00 UTC,6.0,0.00,,0.00,725.0,61.17416667,-149.99805556,-32400.0,71.285,-156.76861111,-32400.0,arrived,2015-02-10 04:31:00 UTC
2015-02-10,AS,19930,AS,51,10299,1029904,30299,ANC,10754,1075402,30107,BRW,2015-02-11 02:30:00 UTC,2015-02-11 02:23:00 UTC,-7.0,,,,,2015-02-11 04:25:00 UTC,,,0.00,,,725.0,61.17416667,-149.99805556,-32400.0,71.285,-156.76861111,-32400.0,departed,2015-02-11 02:23:00 UTC
